                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48949,                 1.1153,                 1.0919,                0.99949,                      1,                  0.995,                 0.9266,                 0.4489,                 1.0268,                0.91562,             0.00066165,             0.00066165,             0.00066165
                      2,                0.48179,                0.74336,                 1.0675,                 0.9989,                      1,                  0.995,                0.91572,                0.45628,                0.75751,                0.93762,               0.001302,               0.001302,               0.001302
                      3,                0.52468,                  0.658,                 1.0959,                0.77181,                0.89008,                0.92039,                 0.5859,                0.78323,                 1.6508,                 1.2074,               0.001916,               0.001916,               0.001916
                      4,                0.49852,                0.59624,                 1.0643,                0.99862,                      1,                  0.995,                0.87406,                0.50105,                0.68393,                 1.0116,              0.0018812,              0.0018812,              0.0018812
                      5,                0.47251,                0.53381,                 1.0644,                0.99945,                      1,                  0.995,                0.94197,                0.37243,                0.50383,                0.80171,              0.0018416,              0.0018416,              0.0018416
                      6,                0.45274,                0.47879,                 1.0498,                0.99912,                      1,                  0.995,                0.92798,                0.45609,                0.48804,                0.90248,               0.001802,               0.001802,               0.001802
                      7,                0.43372,                0.45293,                 1.0359,                0.99177,                      1,                  0.995,                0.94206,                0.41897,                0.45149,                0.84656,              0.0017624,              0.0017624,              0.0017624
                      8,                0.42525,                0.42269,                 1.0309,                0.99947,                      1,                  0.995,                0.94338,                0.37931,                0.37165,                0.81806,              0.0017228,              0.0017228,              0.0017228
                      9,                0.39333,                0.38189,                 1.0076,                0.99875,                      1,                  0.995,                0.94416,                0.35941,                0.34097,                0.80354,              0.0016832,              0.0016832,              0.0016832
                     10,                0.39003,                0.38067,                  1.002,                0.99951,                      1,                  0.995,                0.95706,                0.34404,                 0.3334,                0.79408,              0.0016436,              0.0016436,              0.0016436
                     11,                0.39648,                0.37559,                 1.0115,                0.98936,                      1,                0.99433,                0.91114,                0.38334,                0.41885,                0.78796,               0.001604,               0.001604,               0.001604
                     12,                0.35976,                0.34762,                0.99844,                0.99952,                      1,                  0.995,                0.96004,                0.29639,                0.33995,                 0.7532,              0.0015644,              0.0015644,              0.0015644
                     13,                0.34947,                0.32682,                0.99563,                0.98644,                0.99248,                0.99477,                0.92504,                0.41285,                0.39278,                0.84315,              0.0015248,              0.0015248,              0.0015248
                     14,                0.35142,                0.32811,                0.98966,                0.99249,                 0.9943,                0.99493,                0.95489,                0.32268,                0.32634,                0.74846,              0.0014852,              0.0014852,              0.0014852
                     15,                0.34445,                0.32152,                0.98516,                0.99951,                      1,                  0.995,                0.96798,                0.24796,                0.26129,                0.68992,              0.0014456,              0.0014456,              0.0014456
                     16,                0.33526,                0.30907,                0.98814,                0.99952,                      1,                  0.995,                 0.9774,                0.27398,                0.29495,                 0.7243,               0.001406,               0.001406,               0.001406
                     17,                0.33397,                0.31369,                0.97586,                0.99945,                      1,                  0.995,                0.96449,                0.30227,                 0.2981,                 0.7537,              0.0013664,              0.0013664,              0.0013664
                     18,                0.32095,                0.28339,                0.97244,                0.99951,                      1,                  0.995,                0.98362,                0.25875,                0.24965,                 0.7001,              0.0013268,              0.0013268,              0.0013268
                     19,                 0.2996,                0.28112,                0.96762,                0.99953,                      1,                  0.995,                0.98281,                0.22862,                0.24785,                0.66425,              0.0012872,              0.0012872,              0.0012872
                     20,                0.30984,                0.30697,                 1.0323,                0.99935,                      1,                  0.995,                0.97715,                0.25926,                0.31196,                  0.711,              0.0012476,              0.0012476,              0.0012476
                     21,                0.33282,                0.30886,                 1.1967,                0.99936,                      1,                  0.995,                0.97259,                0.24586,                0.31292,                0.67853,               0.001208,               0.001208,               0.001208
                     22,                0.31353,                 0.2803,                0.96574,                0.99957,                      1,                  0.995,                 0.9807,                0.25338,                0.24188,                0.70642,              0.0011684,              0.0011684,              0.0011684
                     23,                0.29174,                0.26199,                 1.0768,                0.99954,                      1,                  0.995,                0.98742,                0.23919,                0.24911,                0.68018,              0.0011288,              0.0011288,              0.0011288
                     24,                0.29243,                0.26136,                0.97055,                0.99861,                      1,                  0.995,                0.97649,                0.22228,                0.26343,                0.67858,              0.0010892,              0.0010892,              0.0010892
                     25,                0.28784,                 0.2535,                0.96452,                0.99956,                      1,                  0.995,                0.95135,                0.28811,                0.21463,                 0.7139,              0.0010496,              0.0010496,              0.0010496
                     26,                0.27668,                0.25126,                0.93904,                0.99947,                      1,                  0.995,                0.98082,                0.21066,                0.21424,                0.67227,                0.00101,                0.00101,                0.00101
                     27,                0.27921,                0.25782,                0.94495,                0.99884,                      1,                  0.995,                0.98608,                0.23314,                0.20945,                0.68161,              0.0009704,              0.0009704,              0.0009704
                     28,                0.26734,                0.23613,                0.94166,                0.99957,                      1,                  0.995,                0.97987,                0.22886,                0.20742,                 0.6815,              0.0009308,              0.0009308,              0.0009308
                     29,                0.26694,                0.23997,                 1.0252,                0.99956,                      1,                  0.995,                0.98174,                0.21522,                0.19402,                0.65851,              0.0008912,              0.0008912,              0.0008912
                     30,                0.25422,                0.22276,                0.93348,                0.99958,                      1,                  0.995,                0.98861,                0.19352,                 0.1737,                0.64951,              0.0008516,              0.0008516,              0.0008516
                     31,                  0.251,                0.21848,                0.93682,                0.99957,                      1,                  0.995,                0.98925,                 0.1877,                0.18294,                 0.6415,               0.000812,               0.000812,               0.000812
                     32,                0.24775,                0.23443,                0.94021,                0.99955,                      1,                  0.995,                0.97964,                0.24035,                0.20489,                0.69012,              0.0007724,              0.0007724,              0.0007724
                     33,                0.24267,                0.21821,                0.92913,                0.99954,                      1,                  0.995,                0.99058,                0.20388,                0.17809,                0.65666,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.2365,                0.21344,                0.92293,                0.99958,                      1,                  0.995,                0.98616,                0.20991,                0.16438,                0.65971,              0.0006932,              0.0006932,              0.0006932
